Ano,Mês,AnoF,T_INMET,T_ICEA,UR_INMET,UR_ICEA
1961,1,15/01/1961,26.38,,80.3,
1961,2,15/02/1961,26.54,,79.6,
1961,3,15/03/1961,26.70,,78.3,
1961,4,15/04/1961,26.65,,77.7,
1961,5,15/05/1961,25.50,,73.0,
1961,6,15/06/1961,22.78,,67.9,
1961,7,15/07/1961,23.34,,58.6,
1961,8,15/08/1961,27.72,,40.7,
1961,9,15/09/1961,28.90,,49.1,
1961,10,15/10/1961,27.69,,65.1,
1961,11,15/11/1961,27.37,,72.4,
1961,12,15/12/1961,26.92,,75.7,
1962,1,15/01/1962,26.43,,8.13,
1962,2,15/02/1962,26.85,,79.2,
1962,3,15/03/1962,27.18,,73.1,
1962,4,15/04/1962,26.13,,78.2,
1962,5,15/05/1962,24.49,,70.7,
1962,6,15/06/1962,22.36,,69.3,
1962,7,15/07/1962,20.55,,65.2,
1962,8,15/08/1962,25.37,,52.7,
1962,9,15/09/1962,27.94,,61.5,
1962,10,15/10/1962,26.43,,66.5,
1962,11,15/11/1962,28.49,,60.0,
1962,12,15/12/1962,26.34,,8.14,
1963,1,15/01/1963,26.39,,78.8,
1963,2,15/02/1963,26.24,,81.5,
1963,3,15/03/1963,26.34,,80.1,
1963,4,15/04/1963,26.57,,77.0,
1963,5,15/05/1963,24.75,25.39,69.1,44.8
1963,6,15/06/1963,22.97,24.9,66.0,61.0
1963,7,15/07/1963,23.63,25.71,53.0,51.5
1963,8,15/08/1963,26.74,28.59,45.8,26.4
1963,9,15/09/1963,28.01,29.36,49.1,56.2
1963,10,15/10/1963,29.04,31.36,56.7,52.2
1963,11,15/11/1963,28.10,29.51,68.2,61.9
1963,12,15/12/1963,28.49,29.84,66.5,63.5
1964,1,15/01/1964,27.64,28.44,76.9,71.9
1964,2,15/02/1964,27.46,28.25,76.5,75.6
1964,3,15/03/1964,26.70,27.63,80.2,75.6
1964,4,15/04/1964,27.59,28.76,71.1,70.0
1964,5,15/05/1964,24.57,25.8,70.6,69.1
1964,6,15/06/1964,23.51,24.73,63.0,63.4
1964,7,15/07/1964,22.70,23.76,59.3,63.2
1964,8,15/08/1964,27.69,29.25,44.1,44.0
1964,9,15/09/1964,27.46,28.96,54.0,51.4
1964,10,15/10/1964,26.44,27.48,68.5,63.4
1964,11,15/11/1964,27.01,27.7,70.4,65.2
1964,12,15/12/1964,26.44,27.52,73.4,71.9
1965,1,15/01/1965,26.57,27.45,76.0,73.0
1965,2,15/02/1965,26.54,27.47,78.3,76.2
1965,3,15/03/1965,25.36,26.37,78.3,75.9
1965,4,15/04/1965,25.90,26.92,79.1,72.4
1965,5,15/05/1965,25.67,26.84,73.8,73.4
1965,6,15/06/1965,25.10,26.65,64.4,66.0
1965,7,15/07/1965,23.96,25.2,6.3,64.0
1965,8,15/08/1965,26.33,27.76,48.0,52.0
1965,9,15/09/1965,27.44,28.5,57.0,58.8
1965,10,15/10/1965,27.19,28.15,6.9,67.1
1965,11,15/11/1965,27.07,28.12,71.2,67.7
1965,12,15/12/1965,27.09,27.99,74.3,70.9
1966,1,15/01/1966,27.30,27.89,75.5,72.8
1966,2,15/02/1966,26.33,27.09,80.6,77.3
1966,3,15/03/1966,26.91,27.5,74.8,68.8
1966,4,15/04/1966,26.45,27.82,71.3,63.2
1966,5,15/05/1966,25.49,26.68,76.1,69.8
1966,6,15/06/1966,24.68,26.04,60.5,57.4
1966,7,15/07/1966,24.61,26.3,55.8,55.0
1966,8,15/08/1966,24.32,26.13,48.5,46.7
1966,9,15/09/1966,26.83,28.38,52.7,48.0
1966,10,15/10/1966,28.07,29.77,66.5,59.6
1966,11,15/11/1966,28.12,29.56,67.6,61.5
1966,12,15/12/1966,28.44,29.39,68.8,66.5
1967,1,15/01/1967,27.49,28.59,71.6,67.6
1967,2,15/02/1967,26.15,27.96,84.0,71.7
1967,3,15/03/1967,26.37,28.08,85.0,70.8
1967,4,15/04/1967,25.64,27.01,83.6,71.6
1967,5,15/05/1967,23.66,27.53,75.2,56.8
1967,6,15/06/1967,22.02,24.56,77.5,62.2
1967,7,15/07/1967,22.37,26.27,68.1,56.1
1967,8,15/08/1967,25.11,29.12,56.7,43.3
1967,9,15/09/1967,28.03,30.34,55.2,44.8
1967,10,15/10/1967,27.83,30.06,65.8,53.0
1967,11,15/11/1967,26.88,29,76.7,59.3
1967,12,15/12/1967,26.88,28.34,76.2,65.6
1968,1,15/01/1968,26.19,27.99,81.1,65.0
1968,2,15/02/1968,25.62,27.06,86.8,75.3
1968,3,15/03/1968,25.98,27.69,82.2,69.9
1968,4,15/04/1968,23.72,26.02,81.3,73.4
1968,5,15/05/1968,20.93,24.07,79.0,71.0
1968,6,15/06/1968,21.78,26.19,73.6,62.9
1968,7,15/07/1968,22.03,26.61,65.2,56.3
1968,8,15/08/1968,24.92,27.75,62.0,55.0
1968,9,15/09/1968,24.49,26.61,67.3,58.8
1968,10,15/10/1968,27.01,29.22,74.2,60.1
1968,11,15/11/1968,28.04,30.11,73.0,60.1
1968,12,15/12/1968,26.12,27.5,82.7,74.7
1969,1,15/01/1969,26.58,28.37,80.0,69.7
1969,2,15/02/1969,26.61,28.02,83.1,73.6
1969,3,15/03/1969,26.72,28.78,80.3,70.0
1969,4,15/04/1969,26.11,28.54,78.3,71.0
1969,5,15/05/1969,24.55,27.77,77.4,63.1
1969,6,15/06/1969,23.03,25.76,71.7,68.4
1969,7,15/07/1969,21.83,26.32,60.5,58.5
1969,8,15/08/1969,23.83,27.01,52.2,53.3
1969,9,15/09/1969,28.04,30.18,55.3,52.2
